"SCrank","decile","SC_label"
1,1,"SC.1_h"
2,1,"SC.2_h"
4,1,"SC.3_h"
6,1,"SC.4_h"
10,2,"SC.5_h"
14,2,"SC.6_h"
18.5,3,"SC.7_h"
24.5,3,"SC.8_h"
31,4,"SC.9_h"
39,5,"SC.10_h"
46,6,"SC.11_h"
54.5,7,"SC.12_h"
3,1,"SC.13_h"
5,1,"SC.14_h"
8,1,"SC.15_h"
11,2,"SC.16_h"
15,2,"SC.17_h"
21,3,"SC.18_h"
26,4,"SC.19_h"
32.5,4,"SC.20_h"
40,5,"SC.21_h"
47.5,6,"SC.22_h"
57,8,"SC.23_h"
7,1,"SC.24_h"
9,2,"SC.25_h"
13,2,"SC.26_h"
17,3,"SC.27_h"
22,3,"SC.28_h"
28,4,"SC.29_h"
35,5,"SC.30_h"
42,6,"SC.31_h"
50.5,7,"SC.32_h"
59,8,"SC.33_h"
12,2,"SC.34_h"
16,2,"SC.35_h"
20,3,"SC.36_h"
24.5,4,"SC.37_h"
30,4,"SC.38_h"
36,5,"SC.39_h"
44,6,"SC.40_h"
53,7,"SC.41_h"
61,8,"SC.42_h"
18.5,3,"SC.43_h"
23,3,"SC.44_h"
29,4,"SC.45_h"
34,5,"SC.46_h"
41,6,"SC.47_h"
47.5,6,"SC.48_h"
56,7,"SC.49_h"
64,8,"SC.50_h"
27,4,"SC.51_h"
32.5,5,"SC.52_h"
38,5,"SC.53_h"
45,6,"SC.54_h"
52,7,"SC.55_h"
60,8,"SC.56_h"
66,9,"SC.57_h"
37,5,"SC.58_h"
43,6,"SC.59_h"
50.5,7,"SC.60_h"
58,8,"SC.61_h"
65,9,"SC.62_h"
69,9,"SC.63_h"
49,7,"SC.64_h"
54.5,7,"SC.65_h"
63,8,"SC.66_h"
68,9,"SC.67_h"
72,10,"SC.68_h"
62,8,"SC.69_h"
67,9,"SC.70_h"
71,9,"SC.71_h"
74,10,"SC.72_h"
70,9,"SC.73_h"
73,10,"SC.74_h"
76,10,"SC.75_h"
75,10,"SC.76_h"
77,10,"SC.77_h"
78,10,"SC.78_h"
