"Edistance","SC_label"
1,"SC.1_h"
25.6750804474136,"SC.2_h"
41.105040274313,"SC.3_h"
43.5481519270976,"SC.4_h"
35.5906035929458,"SC.5_h"
55.984292768386,"SC.6_h"
60.6036879543893,"SC.7_h"
73.7051604731882,"SC.8_h"
78.3653549924592,"SC.9_h"
93.7693494699284,"SC.10_h"
107.329099188133,"SC.11_h"
92.2087883924359,"SC.12_h"
1,"SC.13_h"
24.5648253480033,"SC.14_h"
27.7714098925334,"SC.15_h"
24.1742576549953,"SC.16_h"
41.8442554927509,"SC.17_h"
48.3254275558864,"SC.18_h"
56.9661760804609,"SC.19_h"
69.2059870760052,"SC.20_h"
81.0209980956311,"SC.21_h"
97.8408233340448,"SC.22_h"
81.9187698886206,"SC.23_h"
1,"SC.24_h"
14.3150530043238,"SC.25_h"
35.4775139409694,"SC.26_h"
22.7467192485203,"SC.27_h"
37.2495198403527,"SC.28_h"
43.6762604280817,"SC.29_h"
60.0561868635243,"SC.30_h"
73.2807775552366,"SC.31_h"
98.5848409456224,"SC.32_h"
77.3276664510475,"SC.33_h"
1,"SC.34_h"
33.0064990534841,"SC.35_h"
24.3348965282228,"SC.36_h"
30.485762813653,"SC.37_h"
42.7404854751186,"SC.38_h"
58.9657630960965,"SC.39_h"
71.4614395521324,"SC.40_h"
99.0412716837062,"SC.41_h"
80.3817054640487,"SC.42_h"
1,"SC.43_h"
44.3166054890391,"SC.44_h"
32.063852672067,"SC.45_h"
50.8264870088795,"SC.46_h"
57.4981902417238,"SC.47_h"
68.7569720202906,"SC.48_h"
89.8024504093668,"SC.49_h"
77.6400141463979,"SC.50_h"
1,"SC.51_h"
29.554065832605,"SC.52_h"
26.4210968846818,"SC.53_h"
42.1220336743886,"SC.54_h"
56.6473903291689,"SC.55_h"
88.9679637634184,"SC.56_h"
65.4260683477509,"SC.57_h"
1,"SC.58_h"
34.3437980454779,"SC.59_h"
41.7178411561789,"SC.60_h"
51.258749826451,"SC.61_h"
83.8898372221307,"SC.62_h"
69.4626742324269,"SC.63_h"
1,"SC.64_h"
32.3729526866097,"SC.65_h"
35.3651691112737,"SC.66_h"
71.2825020666759,"SC.67_h"
48.9805602267963,"SC.68_h"
1,"SC.69_h"
23.5838466255877,"SC.70_h"
54.585397849678,"SC.71_h"
37.6662942820299,"SC.72_h"
1,"SC.73_h"
43.9052835341144,"SC.74_h"
33.1084127806186,"SC.75_h"
1,"SC.76_h"
31.6974036047455,"SC.77_h"
1,"SC.78_h"
